Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,approach_gpt_LLM_Clarity_Rating,approach_gpt_LLM_Completeness_Rating,approach_gpt_LLM_Consistency_Rating,approach_gpt_PSNR,approach_gpt_RMSE,approach_gpt_SAM,approach_gpt_SRE,approach_gpt_SSIM,approach_gpt_UIQ,repo_url,summary_token_count
UML,NA,part,static,EOS-Nation_dfuse-docs,n,"packages, DBs, clients",general,uni,data_flow,text,y,n,medium,n,y,,"maintainability, performance_efficiency",EOS-Nation/dfuse-docs,rectangles,"aws, google, azure",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.5994,0.0148,87.1368,59.3450,0.7091,,https://github.com/EOS-Nation/dfuse-docs/,854
boxes_and_arrows,client-server,entire+,static,rackerlabs_scantron,y,"firewalls, DBs, servers, clients","performance, deployment",uni,"communication, data_flow",n,y,y,high,n,n,,"maintainability, performance_efficiency",rackerlabs/scantron,rectangles,"django, postgresql",,,,24.9827,0.0563,17.4374,34.2643,0.0458,,https://github.com/rackerlabs/scantron/,1128
boxes_and_arrows,MVC,entire,static,elloza_Android-Developer-Certification,y,"features, functions, DBs, layers",general,bi,dependencies,text,y,n,medium,n,y,,maintainability,elloza/Android-Developer-Certification,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0505,0.0140,88.9802,61.4532,0.6897,,https://github.com/elloza/Android-Developer-Certification/,943
boxes_and_arrows,client-server,entire,"static, dynamic",SecHack365-Fans_PyJailBreak,y,"servers, clients","deployment, control_flow",uni,data_flow,n,y,n,high,n,y,,"maintainability, security",SecHack365-Fans/PyJailBreak,rectangles,"github, javascript, flask, python",,,,37.1804,0.0138,89.3679,57.6272,0.6406,,https://github.com/SecHack365-Fans/PyJailBreak/,1095
icons_and_arrows,layered,entire,dynamic,madderle_Capstone-Realtime-Streaming-Analytics,y,"technologies, containers",deployment,no,data_flow,n,y,n,high,n,y,,maintainability,madderle/Capstone-Realtime-Streaming-Analytics,"circles, icons, rectangles","docker, aws, twitter, mysql, tableau, sklearn",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3293,0.0121,89.9435,61.6336,0.7937,,https://github.com/madderle/Capstone-Realtime-Streaming-Analytics/,1230
UML,NA,part,dynamic,IBM_IBM-Spectrum-Scale-Security-Posture,y,"containers, technologies, clients","performance, security",uni,control_flow,n,y,n,low,n,n,,"performance_efficiency, security",IBM/IBM-Spectrum-Scale-Security-Posture,rectangles,"ssh, elasticsearch, kibana",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8456,0.0144,88.7685,57.2014,0.7428,,https://github.com/IBM/IBM-Spectrum-Scale-Security-Posture/,844
icons_and_arrows,NA,part,dynamic,freenowtech_AndroidCI,y,"containers, technologies",deployment,uni,control_flow,n,y,n,high,n,n,,maintainability,freenowtech/AndroidCI,icons,"docker, jenkins, android",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,39.1817,0.0110,89.7607,65.1035,0.6137,,https://github.com/mytaxi/AndroidCI/,761
boxes_and_arrows,MVVM,part,static,linhao1998_ChatGPTClient,y,"packages, layers, DBs",general,uni,"dependencies, data_flow",n,y,n,medium,n,n,,maintainability,linhao1998/ChatGPTClient,rectangles,"sqlite, openai",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,24.9225,0.0567,10.7843,39.0297,0.0075,,https://github.com/linhao1998/ChatGPTClient/,1024
boxes_and_arrows,layered,entire+,static,zeropaper_visual-fiha,n,"layers, clients",general,bi,data_flow,n,y,y,medium,n,y,,maintainability,zeropaper/visual-fiha,rectangles,vscode,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.6842,0.0164,86.9886,56.8406,0.5869,,https://github.com/zeropaper/visual-fiha/,1169
boxes_and_arrows,publish-subscribe,entire+,dynamic,eProsima_FIWARE-SH,y,"clients, servers, sub-systems",connectivity,uni,control_flow,n,y,n,medium,n,y,,compatibility,eProsima/FIWARE-SH,rectangles,xtypes,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,27.6479,0.0415,54.6795,54.1082,0.4304,,https://github.com/eProsima/FIWARE-SH/,1024
boxes_and_arrows,NA,part,static,jsarcher_zilgraph,n,"DBs, sub-systems","deployment, data_flow",uni,data_flow,snapshots,y,n,medium,n,y,,functional_suitability,jsarcher/zilgraph,rectangles,"mongodb, elasticsearch",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4086,0.0120,88.6505,58.6715,0.6436,,https://github.com/jsarcher/zilgraph/,953
boxes_and_arrows,event-driven,entire+,dynamic,jquku_Matrix-Chatbot,n,"DBs, packages, data",general,bi,data_flow,n,y,n,medium,n,n,,"functional_suitability, maintainability",jquku/Matrix-Chatbot,"rectangles, circles",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.9095,0.0568,10.3395,36.5031,0.0914,,https://github.com/jquku/Matrix-Chatbot/,938
boxes_and_arrows,NA,part,dynamic,OpiumProtocol_opium-protocol-v2,y,"sub-systems, packages",control_flow,uni,function_calls,n,y,n,medium,n,n,,"functional_suitability, maintainability",OpiumProtocol/opium-protocol-v2,rectangles,blockchain,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.4211,0.0135,89.6399,60.5072,0.7471,,https://github.com/OpiumProtocol/opium-protocol-v2/,1336
"boxes_and_arrows, icons_and_arrows",event-driven,entire+,dynamic,nightingaleproject_Reference-Client,n,"sub-systems, DBs, clients",security,uni,data_flow,n,y,n,medium,n,n,,"functional_suitability, security",nightingaleproject/Reference-Client,"rectangles, icons",nvidia,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1710,0.0138,87.9873,56.6738,0.6700,,https://github.com/nightingaleproject/Reference-Client/,1157
boxes_and_arrows,client-server,part,dynamic,dwt0317_Search_Adserver,y,sub-systems,control_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,dwt0317/Search_Adserver,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8318,0.0162,88.9494,57.5922,0.6600,,https://github.com/dwt0317/Search_Adserver/,1069
boxes,"clean, SOA",entire,static,qaware_cloud-native-weather-javaee,y,quality-attributes,general,NA,NA,miniview,n,n,medium,n,y,,maintainability,qaware/cloud-native-weather-javaee,"rectangles, circles",postgresql,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.4410,0.0151,89.2124,60.5361,0.7705,,https://github.com/qaware/cloud-native-weather-javaee/,1047
boxes_and_arrows,client-server,part,dynamic,hyper-prog_hasses,y,"clients, servers, data","deployment, data_flow",uni,data_flow,miniview,y,n,low,n,y,,"functional_suitability, maintainability",hyper-prog/hasses,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,34.9676,0.0178,88.2277,58.1325,0.6509,,https://github.com/hyper-prog/hasses/,1098
boxes,NA,part,static,nrephi_jupyter-spark-hadoop-docker,y,"servers, DBs",deployment,no,communication,n,y,n,high,n,y,,performance_efficiency,nrephi/jupyter-spark-hadoop-docker,rectangles,"apache, jupyter",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.9939,0.0178,86.0957,55.8741,0.6370,,https://github.com/nrephi/jupyter-spark-hadoop-docker/,1086
icons_and_arrows,client-server,part,dynamic,IBM_datastax-cassandra-clickstream,y,"technologies, layers",control_flow,uni,control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",IBM/datastax-cassandra-clickstream,icons,"nodejs, ibm, openshift",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,41.8977,0.0080,89.9790,69.3849,0.9330,,https://github.com/IBM/datastax-cassandra-clickstream/,1046
boxes_and_arrows,NA,part,static,afonsocastro_larcc_interface,y,"sub-systems, packages, functions, hardware_components",general,bi,communication,n,y,n,low,n,y,ros,maintainability,afonsocastro/larcc_interface,rectangles,ros,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/afonsocastro/larcc_interface/,1004
boxes_and_arrows,NA,part,dynamic,gcba-iris_iris,y,"sub-systems, communication_channels","deployment, connectivity",bi,data_flow,n,y,n,high,n,n,,compatibility,gcba-iris/iris,"rectangles, circles, hexagons, diamonds",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.9558,0.0565,13.6540,33.2773,0.0784,,https://github.com/gcba-iris/iris/,887
icons_and_arrows,NA,entire,dynamic,hyeonsangjeon_AWS-LLM-SageMaker,y,"technologies, containers",control_flow,uni,control_flow,n,y,n,medium,n,y,,"functional_suitability, maintainability, compatibility",hyeonsangjeon/AWS-LLM-SageMaker,icons,"aws, streamlit",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,26.3211,0.0483,88.7390,43.8811,0.2525,,https://github.com/hyeonsangjeon/AWS-LLM-SageMaker/,1132
boxes_and_arrows,NA,part,static,ankithans_codeX,y,functions,general,uni,"dependencies, composition",n,y,n,high,n,n,,"functional_suitability, maintainability, compatibility",ankithans/codeX,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6655,0.0131,89.2690,56.5912,0.5205,,https://github.com/ankithans/codeX/,991
icons_and_arrows,publish-subscribe,entire,"static, dynamic",marklogic_cloud-enablement-aws,y,"containers, DBs, sub-systems, technologies","deployment, performance",bi,data_flow,n,y,y,medium,n,y,,"compatibility, performance_efficiency",marklogic/cloud-enablement-aws,"rectangles, icons",aws,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9671,0.0159,88.7741,60.8422,0.7069,,https://github.com/marklogic/cloud-enablement-aws/,961
boxes_and_arrows,NA,part,dynamic,fecgov_fec-eregs,y,"sub-systems, packages","deployment, data_flow",uni,data_flow,miniview,y,n,medium,n,y,,maintainability,fecgov/fec-eregs,rectangles,"python, openfec, xml, github",,,,37.2074,0.0138,89.5313,60.6698,0.6774,,https://github.com/fecgov/fec-eregs/,1118
boxes_and_arrows,NA,part,dynamic,jes_autopatzer,n,"packages, hardware_components","deployment, connectivity",bi,communication,n,y,y,high,n,y,,"functional_suitability, maintainability",jes/autopatzer,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3247,0.0136,87.5909,61.9209,0.7748,,https://github.com/jes/autopatzer/,1261
boxes_and_arrows,event-driven,part,dynamic,blockchain-signaling-system_bloss-core,y,"sub-systems, APIs",security,uni,data_flow,n,y,y,medium,n,y,blockchain,security,blockchain-signaling-system/bloss-core,rectangles,"vuejs, flask, socket.io",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.3749,0.0191,89.3375,60.6991,0.7640,,https://github.com/blockchain-signaling-system/bloss-core/,1117
"boxes_and_arrows, icons_and_arrows",layered,entire+,static,dich1_bookshelf-web,y,"technologies, containers, clients, DBs",deployment,uni,communication,n,y,n,high,n,y,,"maintainability, compatibility",dich1/bookshelf-web,"rectangles, icons","github, aws, mysql, docker, rails, circleci, nginx",Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.7859,0.0145,88.9626,60.6609,0.7868,,https://github.com/dich1/bookshelf-web/,894
"boxes_and_arrows, icons_and_arrows",layered,entire+,dynamic,SpektraSystems_CloudLabs-Azure,y,"containers, clients, DBs, servers, technologies, functions","deployment, security",bi,communication,snapshots,y,y,medium,n,y,,"security, compatibility",SpektraSystems/CloudLabs-Azure,"rectangles, icons",azure,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1964,0.0138,88.6005,59.0164,0.6543,,https://github.com/SpektraSystems/CloudLabs-Azure/,728
boxes_and_arrows,NA,part,dynamic,Bytom-Community_Bytom-Server,y,"DBs, network_components","performance, deployment",uni,"communication, composition",n,y,y,high,n,n,blockchain,performance_efficiency,Bytom-Community/Bytom-Server,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2628,0.0137,89.8012,57.0034,0.6286,,https://github.com/Bytom-Community/Bytom-Server/,1454
boxes_and_arrows,"layered, MVC",entire,static,mbotarro_unijobs,n,"layers, classes, DBs, servers",general,uni,"dependencies, API_calls",n,y,n,medium,n,y,,maintainability,mbotarro/unijobs,rectangles,"postgresql, elasticsearch",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,27.9626,0.0400,52.5140,60.2425,0.5087,,https://github.com/mbotarro/unijobs/,1161
boxes_and_arrows,NA,entire,static,Melacon_WirelessTransportEmulator,y,"containers, sub-systems","deployment, connectivity",uni,communication,n,y,y,medium,n,y,,"flexibility, maintainability",Melacon/WirelessTransportEmulator,"rectangles, circles","docker, linux, ovs",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.9955,0.0224,87.1408,54.5530,0.5063,,https://github.com/Melacon/WirelessTransportEmulator/,1457
boxes_and_arrows,"microservices, event-driven",entire+,dynamic,unnmdnwb3_dora,y,"services, steps, DBs, technologies","deployment, control_flow",uni,control_flow,URLs,y,y,medium,n,y,,"interaction_capability, functional_suitability",unnmdnwb3/dora,"rectangles, icons","gitlab, mongodb, kubernetes, prometheus",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.3345,0.0171,89.3873,58.8702,0.6291,,https://github.com/unnmdnwb3/dora/,896
boxes_and_arrows,"client-server, publish-subscribe",entire,dynamic,eProsima_Integration-Service,y,sub-systems,control_flow,"uni, bi","communication, data_flow",parameters,y,n,medium,n,y,,"functional_suitability, maintainability",eProsima/Integration-Service,rectangles,xtypes,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.5848,0.0526,29.1640,47.8718,0.2310,,https://github.com/eProsima/Integration-Service/,1405
boxes_and_arrows,client-server,entire,static,marmarek_qubes-app-u2f,y,"sub-systems, clients, data",security,bi,communication,n,y,n,medium,n,y,,"security, maintainability",marmarek/qubes-app-u2f,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,NA,NA,NA,NA,NA,NA,https://github.com/marmarek/qubes-app-u2f/,1048
"boxes, icons_and_arrows",rest,entire+,"static, dynamic",zmyzheng_TweetMap,y,"technologies, containers","deployment, data_flow",uni,"API_calls, data_flow",n,y,n,high,n,n,,"maintainability, functional_suitability",zmyzheng/TweetMap,icons,"angular, twitter, kubernetes, java, spring, apache, elasticsearch, kibana",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.3044,0.0153,87.9856,59.7631,0.7878,,https://github.com/zmyzheng/TweetMap/,991
boxes,NA,part,"static, dynamic",DevOps-Represent_devopsgirls-bootcamp-cn-2,y,"technologies, clients",deployment,NA,NA,n,n,n,high,n,y,,maintainability,DevOps-Represent/devopsgirls-bootcamp-cn-2,"rectangles, icons",aws,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,33.6439,0.0208,87.4748,56.5103,0.6770,,https://github.com/DevOps-Represent/devopsgirls-bootcamp-cn-2/,876
UML,NA,entire,static,matryx_MatryxPlatform,n,"classes, functions",general,uni,"dependencies, inheritance, composition",n,y,n,low,n,n,,maintainability,matryx/MatryxPlatform,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/matryx/MatryxPlatform/,1209
boxes_and_arrows,"client-server, microservices",entire,static,NeuralDev-io_arclytics_simcct,y,"services, devices, DBs, network_components, clients, technologies",deployment,uni,communication,n,y,n,medium,n,y,,"maintainability, flexibility",NeuralDev-io/arclytics_simcct,"rectangles, icons","google, kubernetes, kibana, elasticsearch, mongodb, fluentd, redis",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.2739,0.0273,76.9516,58.6522,0.6368,,https://github.com/NeuralDev-io/arclytics_simcct/,1411
boxes,layered,entire,static,NicoJuicy_Airline-Microservices,y,layers,general,NA,NA,n,n,n,high,n,n,,maintainability,NicoJuicy/Airline-Microservices,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.4283,0.0213,88.6664,57.5212,0.7168,,https://github.com/NicoJuicy/Airline-Microservices/,1004
"boxes, icons_and_arrows",SOA,entire,static,kpantos_Azure-How-To,y,"services, network_components","deployment, connectivity","uni, bi",communication,URLs,y,y,high,n,y,,maintainability,kpantos/Azure-How-To,"rectangles, icons","skype, microsoft, azure",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.7864,0.0458,42.3995,44.2643,0.2189,,https://github.com/kpantos/Azure-How-To/,875
boxes_and_arrows,event-driven,entire+,static,libremfg_getting-started,y,"DBs, clients, technologies, bus",deployment,"bus, no",communication,n,y,n,medium,n,y,,"maintainability, security",libremfg/getting-started,"rectangles, cylinders, icons","dgraph, influxdb, grafana",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.1206,0.0555,22.2463,36.2022,0.0372,,https://github.com/libremfg/getting-started/,1344
icons_and_arrows,event-driven,entire,dynamic,coverage-robot_core,y,"technologies, APIs, functions",control_flow,"uni, bi",control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",coverage-robot/core,"squares, icons","aws, github",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.8935,0.0127,89.8020,63.8636,0.8318,,https://github.com/coverage-robot/core/,1364
boxes_and_arrows,pipes-and-filters,entire,dynamic,usds_justice40-tool,y,"steps, technologies, clients",data_flow,uni,"API_calls, data_flow",n,y,n,medium,n,y,,"functional_suitability, interaction_capability",usds/justice40-tool,rectangles,aws,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,NA,NA,NA,NA,NA,NA,https://github.com/usds/justice40-tool/,1184
boxes_and_arrows,client-server,entire,static,gustavung_Graphrec,n,"clients, servers, packages",general,"uni, bi",data_flow,n,y,n,high,n,n,,maintainability,gustavung/Graphrec,rectangles,flask,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.4531,0.0119,89.4538,60.8800,0.7470,,https://github.com/gustavung/Graphrec/,1022
boxes_and_arrows,"client-server, layered, pipes-and-filters, rest",entire,"static, dynamic",hamzatugrul_surl,y,"clients, layers, DBs","connectivity, data_flow","uni, bi","communication, data_flow",miniview,y,y,high,n,y,,"security, maintainability",hamzatugrul/surl,"rectangles, cylinders, circles, squares","java, spring",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1500,0.0124,89.3861,59.4167,0.6066,,https://github.com/hamzatugrul/surl/,1174
boxes_and_arrows,client-server,entire+,dynamic,staples-sparx_Wonko,y,"clients, technologies, servers, classes",control_flow,"uni, bi",data_flow,n,y,n,medium,n,n,,maintainability,staples-sparx/Wonko,"rectangles, cylinders, circles, squares","prometheus, apache, slack",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.1362,0.0156,88.7212,63.0918,0.8420,,https://github.com/staples-sparx/Wonko/,983
icons_and_arrows,event-driven,part,dynamic,Cpanchal1_Chatbot101-with-AWS-Lambda,y,"technologies, steps",control_flow,uni,control_flow,code_snippet,y,n,high,n,n,,functional_suitability,Cpanchal1/Chatbot101-with-AWS-Lambda,icons,"aws, microsoft",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,33.5457,0.0210,89.7057,57.4142,0.7113,,https://github.com/Cpanchal1/Chatbot101-with-AWS-Lambda/,634
boxes_and_arrows,NA,entire,static,davidlandry93_glo4001,y,"devices, technologies",connectivity,bi,communication,snapshots,y,n,high,n,y,"IOT, ROS",maintainability,davidlandry93/glo4001,"rectangles, squares","jupyter, python, ros",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.0880,0.0198,89.3562,57.5447,0.6333,,https://github.com/davidlandry93/glo4001/,1151
"boxes, icons_and_arrows",event-driven,entire+,dynamic,dowjones_hammer,y,"technologies, DBs, APIs, steps",control_flow,uni,"control_flow, API_calls",n,y,n,medium,n,y,,"functional_suitability, maintainability, security, performance_efficiency",dowjones/hammer,"rectangles, icons","aws, jira, slack",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0117,0.0141,89.1796,60.2130,0.6824,,https://github.com/dowjones/hammer/,1011
icons_and_arrows,client-server,entire,dynamic,IBM_ios-mapkit-indoor-map,y,"technologies, devices",control_flow,"uni, bi",control_flow,n,y,n,high,n,n,,functional_suitability,IBM/ios-mapkit-indoor-map,"circles, icons",mongodb,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,41.4796,0.0084,89.7449,62.2021,0.8473,,https://github.com/IBM/ios-mapkit-indoor-map/,970
"boxes_and_arrows, icons_and_arrows",client-server,entire,dynamic,onlybakam_reinvent2022-vote-app,y,technologies,control_flow,"uni, bi",function_calls,snapshots,y,n,medium,n,y,,functional_suitability,onlybakam/reinvent2022-vote-app,"rectangles, icons",aws,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,33.5248,0.0211,87.5824,55.7763,0.6126,,https://github.com/onlybakam/reinvent2022-vote-app/,956
boxes_and_arrows,event-driven,entire,dynamic,thill_kafkacap,n,"devices, classes",data_flow,uni,data_flow,n,y,n,medium,n,n,,"maintainability, reliability",thill/kafkacap,rectangles,apache,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2525,0.0154,88.2455,57.4527,0.6805,,https://github.com/thill/kafkacap/,936
boxes_and_arrows,NA,entire,dynamic,fredrikhgrelland_data-mesh,n,technologies,connectivity,uni,"communication, data_flow",URLs,y,y,high,n,n,,maintainability,fredrikhgrelland/data-mesh,rectangles,"presto, aws, minio",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.7820,0.0103,89.8999,57.7717,0.5480,,https://github.com/fredrikhgrelland/data-mesh/,1162
icons_and_arrows,NA,entire,dynamic,gregoryjohnsonjg6_angular-dotnet-core-docker,y,"containers, clients","deployment, control_flow","uni, bi",control_flow,text,y,n,high,y,n,,functional_suitability,gregoryjohnsonjg6/angular-dotnet-core-docker,icons,"docker, postgresql, nginx, dotnet, angular, pgadmin",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.9584,0.0126,89.2837,63.0582,0.8216,,https://github.com/gregoryjohnsonjg6/angular-dotnet-core-docker/,951
UML,MVC,entire,static,batatero_arquiteturaPHP00,y,"packages, classes, functions",general,uni,"inheritance, dependencies",n,y,n,low,n,y,,maintainability,batatero/arquiteturaPHP00,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4221,0.0135,88.4982,63.1266,0.7706,,https://github.com/batatero/arquiteturaPHP00/,1562
boxes_and_arrows,"client-server, SOA",entire,"static, dynamic",Speccy-Rom_SpeccyTV,n,"servers, services, APIs, DBs, technologies",data_flow,uni,"API_calls, data_flow",n,y,n,high,n,y,,"maintainability, functional_suitability",Speccy-Rom/SpeccyTV,"rectangles, cylinders","postgresql, redis, es, apache, aws",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6870,0.0131,88.3654,60.0368,0.7186,,https://github.com/Speccy-Rom/SpeccyTV/,938
boxes_and_arrows,client-server,entire,dynamic,RunnersHi_RunnersHi_Server,y,"technologies, clients",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,RunnersHi/RunnersHi_Server,"rectangles, icons","aws, socket.io, nodejs, mysql, express",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3857,0.0152,89.3154,57.8102,0.6545,,https://github.com/RunnersHi/RunnersHi_Server/,1022
boxes_and_arrows,"client-server, P2P",entire,static,decentraland_catalyst,y,"clients, servers","deployment, connectivity","uni, bi",communication,n,y,n,medium,n,y,,"maintainability, flexibility",decentraland/catalyst,rectangles,"nginx, nats, livekit",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/decentraland/catalyst/,1484
boxes_and_arrows,microservices,entire+,static,DanNguyenN_CompassUTD,y,"clients, APIs, DBs, services, technologies",deployment,uni,dependencies,n,y,n,medium,n,y,,"maintainability, interaction_capability",DanNguyenN/CompassUTD,"rectangles, icons","vertexai, cloud_run",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.8557,0.0203,85.4676,57.4582,0.6783,,https://github.com/DanNguyenN/CompassUTD/,1252
"boxes_and_arrows, icons_and_arrows",NA,entire,"static, dynamic",dsc-sookmyung_2023-mention-all-SolutionChallenge,y,"technologies, containers, DBs",deployment,"uni, bi","control_flow, communication",n,y,n,high,n,y,,maintainability,dsc-sookmyung/2023-mention-all-SolutionChallenge,"rectangles, icons","github, android, ios, docker, kubernetes",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.7367,0.0103,89.2429,63.2183,0.8330,,https://github.com/dsc-sookmyung/2023-mention-all-SolutionChallenge/,1037
boxes_and_arrows,NA,part,dynamic,zalando-incubator_fabric-gateway,y,"technologies, servers, services",control_flow,uni,control_flow,n,y,n,medium,y,y,,"functional_suitability, interaction_capability",zalando-incubator/fabric-gateway,"rectangles, icons",kubernetes,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.2433,0.0487,32.4905,43.3481,0.1530,,https://github.com/zalando-incubator/fabric-gateway/,1043
"boxes, icons_and_arrows",SOA,part,static,apigee_consumer-data-standards-au,y,"technologies, APIs","deployment, connectivity",uni,communication,n,y,n,medium,n,y,,maintainability,apigee/consumer-data-standards-au,"rectangles, icons",google,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4295,0.0134,89.7480,58.0606,0.6658,,https://github.com/apigee/consumer-data-standards-au/,1357
icons_and_arrows,NA,entire,static,today-real-estate_today-real-estate_front-end,y,technologies,deployment,bi,dependencies,n,y,n,high,n,n,,maintainability,today-real-estate/today-real-estate_front-end,icons,"mysql, google, gradle, spring, java, jsoup, vuejs, kakaomap",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.7908,0.0115,89.6190,60.2169,0.8465,,https://github.com/today-real-estate/today-real-estate_front-end/,934
boxes_and_arrows,NA,part,dynamic,mebaysan_Modern-Data-Architecture,y,"technologies, DBs",deployment,"uni, bi",data_flow,n,y,n,high,n,y,,maintainability,mebaysan/Modern-Data-Architecture,"rectangles, icons","aws, elasticsearch, postgresql, powerbi, superset, dbt, tableau",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0464,0.0158,89.5828,56.7736,0.6112,,https://github.com/mebaysan/Modern-Data-Architecture/,862
boxes_and_arrows,client-server,entire,static,anjuchamantha_EMonitor,y,"DBs, network_components, devices, devices, servers",connectivity,"uni, bi",communication,n,y,n,high,n,y,IOT,maintainability,anjuchamantha/EMonitor,"rectangles, squares",NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.6328,0.0147,89.4859,58.8000,0.6743,,https://github.com/anjuchamantha/EMonitor/,1163
boxes,layered,entire,static,zwt-sdk_zwt,y,"APIs, technologies, packages",general,NA,NA,n,n,n,high,n,n,,maintainability,zwt-sdk/zwt,rectangles,"java, android, linux, ios, windows",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.5477,0.0265,82.9512,51.6784,0.5381,,https://github.com/zwt-sdk/zwt/,1062
